George	Washington	1732	1799	1789	1797
John	Adams	1735	1826	1797	1801
Thomas	Jefferson	1743	1826	1801	1809
James	Madison	1751	1836	1809	1817
James	Monroe	1758	1831	1817	1825
John_Quincy	Adams	1767	1848	1825	1829
Andrew	Jackson	1767	1845	1829	1837
Martin	Van_Buren	1782	1862	1837	1841
William_H	Harrison	1773	1841	1841	1841
John	Tyler	1790	1862	1841	1845
James_K	Polk	1795	1849	1845	1849
Zachary	Taylor	1784	1850	1849	1850
Millard	Fillmore	1800	1874	1850	1853
Franklin	Pierce	1804	1869	1853	1857
James	Buchanan	1791	1868	1857	1861
Abraham	Lincoln	1809	1865	1861	1865
Andrew	Johnson	1808	1875	1865	1869
Ulysses_S	Grant	1822	1885	1869	1877
Rutherford_B	Hayes	1822	1893	1877	1881
James_A	Garfield	1831	1881	1881	1881
Chester_A	Arthur	1829	1886	1881	1885
Grover	Cleveland	1837	1908	1885	1889
Benjamin	Harrison	1833	1901	1889	1893
Grover	Cleveland	1837	1908	1893	1897
William	McKinley	1843	1901	1897	1901
Theodore	Roosevelt	1858	1919	1901	1909
William_Howard	Taft	1857	1930	1909	1913
Woodrow	Wilson	1856	1924	1913	1921
Warren_G	Harding	1865	1923	1921	1923
Calvin	Coolidge	1872	1933	1923	1929
Herbert	Hoover	1874	1964	1929	1933
Franklin_D	Roosevelt	1882	1945	1933	1945
Harry_S	Truman	1884	1972	1945	1953
Dwight_D	Eisenhower	1890	1969	1953	1961
John_F	Kennedy	1917	1963	1961	1963
Lyndon_B	Johnson	1908	1973	1963	1969
Richard_M	Nixon	1913	1994	1969	1974
Gerald_R	Ford	1913	2006	1974	1977
James_Earl	Carter	1924	2004	1977	1981
Ronald	Reagan	1911	....	1981	1989
George_H_W	Bush	1924	....	1989	1993
Bill	Clinton	1946	....	1993	2001
George_W	Bush	1946	....	2001	2009
Barack_H	Obama	1961	....	2009	2017
Donald_J	Trump	1946	....	2017	....
